chat,message_id,date,text,entities
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",247,1636128009,"👔 Data Scientist
⛳️ Rubbles    
💼🥁 Работа в офисе
💵 до 500 000 рублей

Подробнее: https://proglib.io/vacancies/data-scientist-rubbles-2021-11-05","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""bold"",
        ""offset"": 59,
        ""length"": 7
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 86,
        ""length"": 62
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",246,1635955219,"👔 Data Engineer
⛳️ Студия Данных  
💼🥁 Удаленка
💵 200 000 - 250 000 рублей

Подробнее: https://proglib.io/vacancies/data-engineer-studiya-dannyh-2021-11-03","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""bold"",
        ""offset"": 53,
        ""length"": 17
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 90,
        ""length"": 68
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",245,1635782412,"👔 Data Scientist
⛳️ Spark Equation  
💼🥁 Удаленка
💵 120 000 - 190 000 рублей

Подробнее: https://proglib.io/vacancies/data-scientist-spark-equation-2021-11-01","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""bold"",
        ""offset"": 55,
        ""length"": 17
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 92,
        ""length"": 69
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",244,1635609604,"👔 Data Scientist
⛳️ RIPE Capital  
💼🥁 Удаленка
💵 150 000 - 230 000 рублей

Подробнее: https://proglib.io/vacancies/data-scientist-ripe-capital-2021-10-30","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""bold"",
        ""offset"": 53,
        ""length"": 17
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 90,
        ""length"": 67
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",243,1635517478,"Data Engineer в Myna Labs - стартап, разрабатывающий развлекательные продукты с использованием технологий машинного обучения.

У нас сильная команда (ex Nvidia, Google, Amazon, Samsung AI, Lyft, Mail.Ru, VK, PicsArt, VisionLabs), и мы ищем мотивированного Python/Data Engineer-а, который будет отвечать за создание, подготовку и обработку датасетов, использующихся для обучения всех наших нейронок.

Задачи

- Искать и скачивать датасеты ручками
- Писать пайплайны для автоматического сбора данных
- Создавать пайплайны по очистке и фильтрации данных с использованием ML моделей
- Ставить задачи для студий разметки данных
- Создавать проекты на Yandex Toloka, Amazon Mechanical Turk
- Создавать и улучшать пайплайны пред и пост-процессинга данных для инференса (текст и аудио)
- Разбираться с corner cases при инференсе с реальными данными

Требования

- Уверенное владение Python, Bash
- Понимание современного Web (JS), чтобы писать работающие скраперы при необходимости (Selenium)
- Умение быстро изучать новые технологии и подходы
- Проактивность. Если тебе нужно подкидывать мотивации, давать задачки и спрашивать ""когда будет готово?"", то нам с тобой не по пути 🙅🏻‍♀️

Будет плюсом

- Опыт написания и использования ML моделей на PyTorch
- Опыт версионирования данных (DVC)
- Опыт подготовки датасетов для задач машинного обучения
- Опыт работы с Yandex Toloka и Amazon Mechanical Turk
- Уверенное понимание того, как устроена OS, Сеть, Архитектура компьютера
- Уверенное владение C/C++

Условия 

- $1700-2800
- Оплата обедов (10 000 в месяц)
- Оплата занятий спортом (5 000 в месяц)
- ДМС со стоматологией
- Купим всю необходимую технику
- Доступ к рабочим станциями с 2080 и RTX 6000 + AWS
- Работа в комфортном офисе в центре Санкт-Петербурга, в Москве или ремоут
- Помощь с релокейтом при необходимости

По всем вопросам пиши @amvrosovaek","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""mention"",
        ""offset"": 1840,
        ""length"": 12
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",242,1635436816,"👔 Data Scientist
⛳️ ZennoLab      
💼🥁 Работа в офисе
💵 150 000 - 250 000 рублей

Подробнее: https://proglib.io/vacancies/data-scientist-zennolab-2021-10-28","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""bold"",
        ""offset"": 59,
        ""length"": 17
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 96,
        ""length"": 63
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",241,1635264010,"👔 Lead Data Scientist
⛳️ Сеть партнерств    
💼🥁 Работа в офисе
💵 от 300 000 рублей
 
Подробнее: https://proglib.io/vacancies/lead-data-scientist-set-partnerstv-2021-10-26","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""bold"",
        ""offset"": 72,
        ""length"": 7
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 100,
        ""length"": 74
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",240,1635091205,"👔 Data scientist
⛳️ Форпост       
💼🥁 Работа в офисе
💵 Зарплата на собеседовании
 
Подробнее: https://proglib.io/vacancies/data-scientist-forpost-2021-10-24","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 98,
        ""length"": 62
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",239,1634918407,"👔 Junior Data Scientist
⛳️ АлгоМост       
💼🥁 Работа в офисе
💵 Зарплата на собеседовании
 
Подробнее: https://proglib.io/vacancies/junior-data-scientist-algomost-2021-10-22","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 106,
        ""length"": 70
    }
]"
"{
    ""_"": ""Chat"",
    ""id"": -1001483488834,
    ""type"": ""channel"",
    ""is_verified"": false,
    ""is_restricted"": false,
    ""is_creator"": false,
    ""is_scam"": false,
    ""is_fake"": false,
    ""title"": ""Data jobs — вакансии по data science, анализу данных, аналитике, искусственному интеллекту"",
    ""username"": ""datajob"",
    ""photo"": {
        ""_"": ""ChatPhoto"",
        ""small_file_id"": ""AQADAgATN9wvmy4AAwIAA76x7tIW____i2fWS7sQpsXL6wQAAR4E"",
        ""small_photo_unique_id"": ""AQADN9wvmy4AA8vrBAAB"",
        ""big_file_id"": ""AQADAgATN9wvmy4AAwMAA76x7tIW____i2fWS7sQpsXN6wQAAR4E"",
        ""big_photo_unique_id"": ""AQADN9wvmy4AA83rBAAB""
    },
    ""dc_id"": 2
}",238,1634745725,"👔 Data Scientist
⛳️ Deltaplan Group        
💼🥁 Работа в офисе
💵 от 150 000 рублей
 
Подробнее: https://proglib.io/vacancies/data-scientist-deltaplan-group-2021-10-20","[
    {
        ""_"": ""MessageEntity"",
        ""type"": ""bold"",
        ""offset"": 71,
        ""length"": 7
    },
    {
        ""_"": ""MessageEntity"",
        ""type"": ""url"",
        ""offset"": 99,
        ""length"": 70
    }
]"
